Title,Artist,Lyrics
MISSING U,Lee Hi (이하이)," missing u    다 잊혀지는 날이 오긴 오겠지? 눈을 감아도 너의 얼굴이 떠오르지 않는 그 날이 오겠지 친구들에게 네 얘길 들어도 낯선 사람인 듯이 난 고개만 끄덕이겠지   그렇게 하루하루 지나고 우린 없던 일이 돼버리고 널 사랑한 적 없는 내가 되어 살다 문득 네가 생각이 날 땐 웃고 싶어 나도 내가 지겨워 이러긴 싫은데   i'm missing you 네가 이런 날 미워해도 i'm missing you 난 널 붙잡기만 하고 시간이 흐르고 눈물이 흘러도 왜 내 마음은 고여 있는지 아직은 너에게 추억이 되는 게 싫어 미안해 i'm missin' you, ohohohoh  다 잊혀지면 나도 너처럼 되겠지 언젠가는 아무렇지 않게 너의 이름을 부르고 안부를 묻게 되겠지 잘 지낸다는 말에 숨이 멎지 않고 눈물이 흐르지 않을 텐데 그게 안 돼   i'm missing you 네가 이런 날 미워해도 i'm missing you 난 널 붙잡기만 하고 시간이 흐르고 눈물이 흘러도 왜 내 마음은 고여 있는지 아직은 너에게 추억이 되는 게 싫어 이해해 i'm missing you   널 지우면 나도 지워질까 봐 실 같은 기억 하나라도 놓치면 모든 게 끊어질까 봐 이렇게 매달리는데 넌 내 작은 미련도 무거웠니 이미 놓아버렸니 돌아와 줘  i'm missing you 네가 이런 날 미워해도 i'm missing you 난 널 붙잡기만 하고 시간이 흐르고 눈물이 흘러도 왜 내 마음은 고여 있는지 아직은 너에게 추억이 되는 게 싫어 미안해 i'm missing you   오늘만 이럴게 너를 잊을게 i'm missing you "
Rose,Lee Hi (이하이)," rose    내 사랑은 새파란 rose 지금은 아름답겠지만 날카로운 가시로 널 아프게 할걸 내 사랑은 새빨간 rose 그래 난 향기롭겠지만 가까이 할수록 널 다치게 할걸   그런 가벼운 눈빛으로 날 쳐다보지 말아 줘요 함부로 사랑을 쉽게 얘기하지 마 no 내 맘을 갖고 싶다면 내 아픔도 가져야 해요 언젠가 반드시 가시에 찔릴 테니까 no  pre 날 너무 믿지마 넌 날 아직 잘 몰라 so just run away, run away i said, ohohoh i said, ohohoh 날 사랑하지 마 넌 날 아직 잘 몰라 i said, run away, just run away 다가오지 마  내 사랑은 새파란 rose 지금은 아름답겠지만 날카로운 가시로 널 아프게 할걸 내 사랑은 새빨간 rose 그래 난 향기롭겠지만 가까이 할수록 널 다치게 할걸   자신감에 찬 니 모습이 내 눈엔 그저 안쓰러워 날 향한 씩씩한 발걸음이 오늘따라 초라해 보여 감정, 사치가 내겐 사랑, 집착 best friend so run away, just run away 'cause you and i must come to an end  interlude every rose has its thorn every rose has its thorn every rose has its thorn m, mmm  pre 날 너무 믿지마 넌 날 아직 잘 몰라 so just run away, run away i said, ohohoh i said, ohohoh 날 사랑하지 마 넌 날 아직 잘 몰라 i said, run away, just run away 다가오지 마  내 사랑은 새파란 rose 지금은 아름답겠지만 날카로운 가시로 널 아프게 할걸 내 사랑은 새빨간 rose 그래 난 향기롭겠지만 가까이 할수록 널 다치게 할걸 don't wanna hurt you2 "
No Way,Lee Hi (이하이),"  oh no oh oh no oh oh ahh oh no no no, no no    발끝까지 닿은 어둠이 익숙해질 때면 붉게 물든 내 맘은 또 너를 그려내고 너의 곁에 닿은 모든 게 어지러워져 별이 쏟아지던 밤 your love makes me wonder  pre  boy, i've been dreamin' bout ya 온종일 thinkin bout ya 눈 뜨면 어김없이 스며드는 너의 목소리에 how should i say, my love? 기다려도 without ya 시간은 자꾸 멈춰 꿈속에서 너는 더 선명해지는 걸 baby, i’ll be right here   i just wanna dance with you forever 멀어지지 마 더 never there’s no way there’s no way 네게만 느낄 수 있는 sweetest fantasy 어떤 누구도 no baby there’s no way there’s no way there’s no way  interlude   g. soul   g.soul 어젯밤의 꿈처럼 난 so emotional 아침이 밝아와도 머물러 있는 네 이름 아무렇지도 않게 넌 runnin’ through my mind 더는 멈추지 마 baby 매일 너를 원해   g.soul i just wanna dance with you forever i just wanna dance with you forever 멀어지지 마 더 never ey, never there’s no way there’s no way no way 네게만 느낄 수 있는 sweetest fantasy 어떤 누구도 no baby there’s no way there is no way there’s no way there’s no way  , both 거짓말처럼 you got me oh no 너를 몰랐던 시간이 no no no 이젠 nothin' without you 네게 입 맞추고 oh no 내 맘속엔 아직도 보여줄 게 많은 걸 이렇게 너를 안으면 ‘till the night is gone 더 이상은 두렵지 않아   , g. soul, both i just wanna dance with you forever i just wanna dance with you forever 멀어지지 마 더 never oh no no no there’s no way baby there’s no way no way 네게만 느낄 수 있는 sweetest fantasy 어떤 누구도 no baby no nobody, no baby there’s no way no baby there’s no way no baby there’s no way   , g. soul, both 멀어지지 마 더 never oh baby hey hey no no no baby no baby no1 "
희망고문 (Blues),Lee Hi (이하이)," 희망고문    아무 생각 없이 건넨듯한 한마디에 밤새 생각에 잠겨 i think i'm going crazy 술김에 한 안부 인사뿐일까 답을 한참 적다가 지운다 그댄 날 참 쉽게도 지웠지만   망상일까 요즘은 그대 사진들 속에 나만 알아볼 수 있는 쓸쓸함이 보여 아냐 이럼 안되는 거지 내가 이러길 바라겠지 언제나 닿을 수 없는 곳에서만 손 내미는 너   그대여 내게 돌아와 줄 수 없다면 돌아봐도 안 돼요 baby, i will try to let you go 그대여 나는 죽어도 안 되겠다면 차라리 날 숨 쉬게 하지도 마요 아직도 난 그대 안에  마주칠까봐 애써 나를 피하던 니가 요즘 따라 왜 어딜 가도 보이는 걸까 우연을 엮어 운명을 만들고 희망고문인 걸 알면서도 여전히 닿을 수 없는 너에게 손을 내미는 나   그대여 내게 돌아와 줄 수 없다면 돌아봐도 안 돼요 baby, i will try to let you go 그대여 나는 죽어도 안 되겠다면 차라리 날 숨 쉬게 하지도 마요 아직도 난 그대 안에 사는데   그댄 내가 없어도 잘 살 수 있으면서 왜 날 이렇게 괴롭히고 미치게 만드나요, baby please let me go don't you know i'm dying? oh, god 날 놓아줄 수 없다면 내게 돌아와요  그대여 내게 돌아와 줄 수 없다면 돌아봐도 안 돼요 baby, i will try to let you go 그대여 나는 죽어도 안 되겠다면 차라리 날 숨 쉬게 하지도 마요 아직도 난 그대 안에 살아요 "
손잡아 줘요 (Hold My Hand),Lee Hi (이하이)," 손잡아 줘요    let me hold your hand again, and again and again i want you to come back i want you to love me again   나의 손을 잡던 그대의 손길이 얼마나 따뜻했는지 다시 알 수 있게 한 번만 더 손잡아 줘요 온기를 느끼게 해줘요 바람이 불어서 차갑단 말이예요   let me hold your hand again and again and again i want you to come back i want you to love me again   나를 안아주던 그대의 품속이 얼마나 따뜻했는지 다시 알고 싶죠 마지막 그날 밤 작별 인사하고 돌아서서 서 있는데 차가운 눈물만 한 번만 더 날 안아줘요 사랑을 느끼게 해줘요 마음이 비어서 차갑단 말이예요  let me hold your hand again, and again and again i want you to come back i want you to love me again, again   i said, one, two, three, you 오늘도 한 발자국 돌아와 달라고 you one, two, three, you 오늘도 한 발자국 ohohohoh four, five, six   let me hold your hand again, and again and again i want you to come back i want you to love me again, again   그대 없인 너무 춥단 말이예요 그댄 참 따듯했단 말이예요 이대로 끝나면 난 안된단 말이예요   let me hold your hand again, and again and again i want you to come back i want you to love me again, again, again "
빤간 립스틱 (Red Lipstick),Lee Hi (이하이)," 빤간 립스틱       mwah!    오늘 밤은 이 분위기에 취해 아무런 생각 없이 groove it,  고민하지 마 just do it move your body like that 비틀거리면 어때 i like that, yeah  pre  let me blow your mind 지루한 사람들 속 넌 마치 friday night so take my hand, 내 맘을 흔들어봐   , yoon mirae 빨간 립스틱 진하게 바르고 so dance, dance, dance, keep on dance, dance, dance, people 빨간 립스틱 너 때문에 번져도 just dance, dance, dance, keep on yeah dance, dance, dance, people  yoon mirae 나와 나만의 baby boo, 사랑은 forever 누구도 방해할 수 없지 stop it, they could never but never mind that, 지금 rewind that 이 노래처럼 다시 한 번 더 play back spin me round and round, 몸을 up and down 이 밤이 지나가기 전에 do it right now 이 분위기 그대로 turn the music up 'cause the party ain't a party 'til we all turnt up  pre  gonna lose your mind 꺼지지 않는 불빛 속에 서울의 밤 so take my hand 네 몸을 흔들어봐    빨간 립스틱 진하게 바르고 so dance, dance, dancе, keep on dance, dance, dance, pеople 빨간 립스틱 너 때문에 번져도 just dance, dance, dance, keep on dance, dance, dance, people    이 밤이 지나가기 전에 do it right now 느낌이 와 너와 나 사이 something so loud 그 입술로 내게 사랑한다고 말해, oh, baby   빨간 립스틱 진하게 바르고 so dance, dance, dance, keep on dance, dance, dance, people 빨간 립스틱 너 때문에 번져도 just dance, dance, dance, keep on dance, dance, dance, people  post yoon mirae,  ladidali, move your body don't stop, 우리 하나 될 때 까지 six in the morning and we still going dance, dance, dance, people yeah, ladidali, move your body don't stop, 우리 하나 될 때 까지 six in the morning and we still going dance, dance, dance, people   , yoon mirae 화려한 디스코 조명 아래서  조명 아래서 너와 나 둘이 이 밤을 새워 이 밤을 새워 화려한 디스코 빛을 받으며 빛을 받으며 yeah just dance, dance, dance, keep on uhhuh dance, dance, dance, people the party ain't a party hahaha, sigh "
스쳐 간다 (Passing By),Lee Hi (이하이)," 스쳐 간다    흔들리는 그 바람 소리가 내 맘을 흔들고 스쳐 지나간다 아플 만큼 아파도 난 얼마나 더 아파야 아무렇지 않을 수 있을까   아무 일도 아니라는 듯 넌 그렇게 날 스쳐 지나가 시간 지나 계절도 바뀌고 맘은 자꾸만 시려 오는데 나 혼자선 차가워지질 못하나 봐 넌 오늘도 날 스쳐 간다 스쳐 간다   날카로운 칼에 베이듯, 그렇게 넌 날 스쳐 지나간다 흐르는 이 눈물을 또 얼마나 더 흘려야 혼자 남은 게 익숙해질까   아무 일도 아니라는 듯 넌 그렇게 날 스쳐 지나가 시간 지나 계절도 바뀌고 맘은 자꾸만 시려 오는데 나 혼자선 차가워 지질 못하나 봐 넌 오늘도 날 ohoh  나도 내 맘 잘 몰라서 널 몰랐어 너를 힘들게 해서 많이 아프게 해서 더 미안한 마음뿐, 난 고마운 마음뿐 그래 이제 날 떠나면 다신 볼 수 없지만 너를 그리고 또 그리워할게   아무 일도 아니라는 듯 넌 그렇게 날 스쳐 지나가 너와 내가 변해버린 뒤로 내 눈물은 멈추질 못해 아직도 우린 서로를 모르나 봐 넌 오늘도 날 스쳐 간다 "
20분전 (20MIN),Lee Hi (이하이)," 20분전    넌 처음부터 끝까지 안 변해 한심한 표정도 똑같은 변명도 하나부터 열까지 변한 게 없네 시간 낭비한 기분 you think you’re good but you’re not  pre 웃어준다고 너에게 빠진 건 아냐 착각 속에서 넌 늘 잘난 줄 알겠지 전부 돌려 말해 이해가 잘 안됐니 넌 거기서 거기 어 별로 재미없어   20분 전부터 또 20분 넌 그저 그런 농담만 또 반복해 20일 전부터 딱 20일 이미 끝났어 널 놓았어 don’t think of you   넌 헤어진 그녀들 얘기를 좋아해 그녀들의 맘 참 딱하기도 해 난 상상도 싫어 너 같은 애들 참 뻔뻔해 딱 일분도 견디기 질리게 하니까 pre 울렁거림은 언제쯤 멈출까 싶어 그래 아주 조금은 너에게 죄책감 들어 누구 혼자만의 잘못은 아니겠지만 내 잘못은 딱히 떠오르지 않아   20분 전부터 또 20분 넌 그저 그런 농담만 또 반복해 20일 전부터 딱 20일 이미 끝났어 널 놓았어 don’t think of you   그쯤에서 해 여기서 그만 stop 너 없이도 나 처음부터 다 너 하나만을 믿고 두 눈 감는 것도 지쳐 i’m not okay 그만둘래   20분 전부터 또 20분 da da da dadada 20일 전부터 딱 20일 이미 끝났어 널 놓았어 don’t think of you, yeah "
My Star,Lee Hi (이하이)," my star    bass   넌 나의 star 넌 나의 sun 넌 나의 moon 세상을 다 가진 느낌 i feel, i feel good i feel good when i'm with you 넌 나의 rock 넌 나의 gun 넌 나의 rose 감당이 안 돼 이 느낌 feel alright 이제 안 외로워, 나 안 외로워  pre 첫사랑 같은 내 맘은 너를 향한 춤을 추고, ohohohoh 미친 것 같은 내 눈은 한 사람만 보여 오직 you   시작한 사랑을 멈추지마 don't stop 기나긴 밤은 너와 내꺼니까 you're mine 지금 내 두 손을 잡고 never let me go tell me 너도 나와 같은 사랑한다고  넌 나의 star 넌 나의 sun 넌 나의 moon 세상을 다 가진 느낌 i feel, i feel good i feel good when i'm with you 넌 나의 poison 넌 나의 trouble, huh 넌 나의 fate 못 참겠어 oh 네 손길 feel alright 네가 너무 좋아 난 너무 좋아  pre listen, something about you 멈췄던 내 가슴을 뛰게 하고, ohohohoh 미친 것 같은 내 눈엔 한 사람만 보여 오직 you   시작한 사랑을 멈추지마 don't stop 기나긴 밤은 너와 내꺼니까 you're mine 지금 내 두 손을 잡고 never let me go tell me 너도 나와 같은 사랑한다고   어느새 난 영원을 꾸꾸던 해 but nothing is forever, i know 너 없는 날 상상할 수조차 없어 ooh, whoaoohohoh all the girls out there ooh, la, la, la, la ooh, la, la, la, la huh, all the boys sing along yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah come, on yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah  넌 나의 star 넌 나의 star 넌 나의 sun 넌 나의 moon hey 세상을 다 가진 느낌 i feel, i feel i feel good woo when i'm with you when i'm with you, i feel good 넌 나의 rock 넌 나의 rock 넌 나의 gun 넌 나의 gun 넌 나의 rose heyey 감당이 안 돼 이 느낌 feel alright 이제 안 외로워, 난 안 외로워 "
It’s over,Lee Hi (이하이)," it's over    하늘에 빛나는 저 많은 별 이제 우린 이별인가요, oh   쉽게 보지 마요 날 그렇게 네게 맘을 준 게 큰 실수였나요 흔히들 들어갈 때와 나올 때 다르다는 의미가 바로 이건가요 그대에게 짐이 됐나요 차라리 내려 놓아요  pre 니 쓸데없는 고집 입만 벌리면 거짓 언제나 니 맘대로 다 멋대로 며칠째 외로이 텅빈 길을 걷지 난 이대로 니 곁을 떠나갈래 곧 알게 될 거야 너의 잘못을 i never wanna ever see you again   들리 들리 이이이니 내 목소리 it's over, it's over so baby, goodbye 들리 들리 이이이니 이 한마디 it's over, it's over so baby, goodbye post 앞으로 두 번 다시 두 눈 가리고 울 일 없겠지 i said, i said i said i said, ohwhoaohoh   시험이 끝난 듯 홀가분해 이제와 돌아보니 난 정말 불행했네 푸른 하늘 아래 온종일 가려진 너의 그늘을 벗어나 날 찾아갈래 yeah, yeah, yeah 그대에게 짐이 됐나요 차라리 내려 놓아요 yeah, yeah, yeah  pre 니 쓸데없는 고집 입만 벌리면 거짓 언제나 니 맘대로 다 멋대로 며칠째 외로이 텅빈 길을 걷지 절대로 난 너에게 다시 돌아가지 않아 곧 알게 될 거야 너의 잘못을 i never wanna ever see you again   들리 들리 이이이니 내 목소리 it's over, it's over so baby, goodbye 들리 들리 이이이니 이 한마디 it's over, it's over so baby, goodbye post 앞으로 두 번 다시 두 눈 가리고 울 일 없겠지 i said, i said i said i said over, whoaoh   사랑이 식었다면 남 주기 아깝다고 잡지 말아요 사랑이 식었다면 남 주기 아깝다고 잡지 말아요   들리 들리 이이이니 내 목소리 it's over, it's over so baby, goodbye 들리 들리 이이이니 이 한마디 it's over, it's over so baby, goodbye  post 하늘에 빛나는 저 많은 별 이제 우린 이별인가요 "
Fxxk Wit Us,Lee Hi (이하이),"   fxxk wit us     they say 난 답이 없지 날 문제로 봐서겠지 i'm just young and free, ayay they say 난 말 안 듣지 말 같은 말부터 해야지 what you know bout me? huh?    i'm just young and free, but i be like fuck you, just pay me i'm chasin' my dreams while you lame dudes ng lazy 날 미워하기 전에 넌 네 거울부터 봐 난 내 자릴 지켜왔지 항상 겨울부터 가을 서울부터 hi lv, i be stunning 집착하며 파고들지 않아 어떤 원인이든 간에 내가 신경 쓸 건 없지 i'm just doin' my work 날 향한 말들도 어차피 모두 어깨 위 dirt, let's get it    세상은 이렇게 너와 날 등졌지만 everything's gon' be okay 'cause nothing can fuck with us 다 참 시끄럽게 입을 놀려대지만 don't need to be afraid 'cause nothing can fuck with us   they say 내가 미쳤대 it's okay 다 미쳤는데 나는 왜 안돼? ayay they say 잘 봐라 절대 넌 안돼 난 되고 싶은 게 나 밖에 없는데    never, i don't wanna be the same lame 나도 네가 될 수 없고 너도 내가 될 수 없듯 so just do the damn thang 어제는 어제 오늘은 오늘 내일은 내일 해가 뜰 테니까 미리 걱정 마 때이르게 누가 결정해 내 가치를 어디까지나 내 자신 내가 아닌 이는 닥쳐 나는 알아 나의 앞이 잠시 흐릴 때도 그저 단지 안개라는 것을 either it's raining or shining, i'm always on my hustle one hunnid    세상은 이렇게 너와 날 등졌지만 everything's gon' be okay 'cause nothing can fuck with us 다 참 시끄럽게 입을 놀려대지만 don't need to be afraid 'cause nothing can fuck with us   all i need is you, baby, fuck the world as long as you're my man, baby, i'm your girl all i need is you, baby, fuck the world as long as you're my man, baby, i'm your girl and nothing can fuck with us    세상은 이렇게 너와 날 등졌지만 everything's gon' be okay 'cause nothing can fuck with us 다 참 시끄럽게 입을 놀려대지만 don't need to be afraid 'cause nothing can fuck with us "
"1, 2, 3, 4",Lee Hi (이하이)," 1, 2, 3, 4    hey! come on now i said, one, two, three   아직도 내가 니 거라는 착각은 그만 예전의 그때 내가 아냐 아침이 밝는 소리에 꽃은 저만치 폈는데 여전히 정신 못 차려 왜   i'm sick and tired 너의 위선에 어설픈 liar, ooh 이제 좀 꺼져줄래 i think i'm going, going crazy, ooh ooh i think i'm going, going crazy, ooh ooh  pre 더 비참하게 굴지는 마 사라져줘 저 멀리 no, no na, na, na, na, na, na 구차하게 울지는 마 다 잊어줘 영원히 no, no listen, 남 걱정하지 말고 너나 잘 해 니 그런 동정 따윈 필요 없어 uh  i said, one, and two, and three, four, ooh 시간이 모든걸 해결할거야 one, and two, and three, four, ooh game over, game over, ooh game over   나 같은 여자 어딜 가도 눈 씻고 봐도 보기 드무네 때로는 섹시 때론 청순함에 남자들은 울고 가네 유치하게   i'm sick and tired 너의 위선에 어설픈 liar, ooh 제발 좀 꺼져줄래 i think i'm going, going crazy, ooh ooh i think i'm going, going crazy, ooh ooh  pre 더 비참하게 굴지는 마 사라져줘 저 멀리 no, no na, na, na, na, na, na 구차하게 울지는 마 다 잊어줘 영원히 no, no listen, 남 걱정하지 말고 너나 잘 해 니 그런 동정 따윈 필요 없어 uh  i said, one, and two, and three, four, ooh 시간이 모든걸 해결할거야 one, and two, and three, four, ooh game over, game over, ooh game over   너무나 아파 벌써 잊었나 봐 hey, baby 떠나가줘   i said, one, and two, and three, four, ooh 시간이 모든걸 해결할거야 one, and two, and three, four, ooh game over, game over, ooh game over   one, and two, and three, four i said, no, no one, and two, and three, four i said, nono, no one, and two, and three, four uhhuh, uhhuh game over it's over, game over it's over, ooh game over "
Love Is Over,Lee Hi (이하이), love is over    아무리 얼굴을 화장으로 가려도 내 기분이 가려지지 않아 네가 좋아했던 긴 머리는 쉽게 잘라도 마음을 접는 건 참 어려워  pre 사람들은 말을 해 시간만이 답이래 그 말만 몇 년째고 난 여전히 똑같아 내 전화 깊은 곳에 웃고 있는 널 보며 잠들곤 해   love is over 그칠 것 같던 눈물이 멈추지 않아 어제처럼 오늘도 love is over 널 오래전 보내놓고 아직 너와 헤어지는 중   좋았던 기억들이 너무나 많아서 버려봐도 내 맘만 무겁고 쓸데없이 옷장 속을 가득 채워도 허전한 가슴은 텅 빈 듯해 pre 다른 남자 앞에서 억지로 웃어봐도 너만 더 생각나고 너와 함께 알았던 친군 다 피해봐도 가끔 네 소식이 들리곤 해   love is over 그칠 것 같던 눈물이 멈추지 않아 어제처럼 오늘도 love is over 널 오래전 보내놓고 아직 너와 헤어지는 중   내가 바보 같을 거야 이미 날 다 잊은 네 눈엔 쉽게 딴 사랑 시작했겠지 딴 여자 머릴 쓰다듬겠지 여지껏 너를 정리 못한 나를 모른 채   돌아서면 저 멀리 날 반기며 손 흔들 것 같아 내 이름을 부르며 헤어졌던 널 오래전 보내놓고 아직 너와 사랑하는 중 post la la la la la la la la la la la 아직 너와 헤어지는 중 la la la la la la la la la la la 아직 너와 헤어지는 중 
안봐도 비디오 (Video),Lee Hi (이하이)," 안봐도 비디오     할 말을 잃어버린 듯 혼자서 방황하는 눈 안봐도 비디오 오 뻔하지 뭐 다시 또 빌고 빌 모습 나를 또 뜯어말릴 친구들의 말들 안봐도 비디오 오 이제는 헛웃음만 나와 baby    i'm sorry no, baby i'm sorry 내가 미안해 그만 미안해도 돼 i'm out of this game 난 그만할래    왜인지 뜸하던 네 phone call 하나둘 맞춰지는 퍼즐처럼 안봐도 비디오 오 뻔하지 뭐   혹시나 하니 역시나 밤마다 걸려오는 전화를 시시콜콜한 변명을 듣기 싫어 난 지쳤어 no more 니가 울며불며 떼써도 죽겠다 밥을 걸러도 이젠 웃기지도 않아   bobby 밝은 미소 그 아름다움 땜에 계속 보고 있자니 눈이 멀었어 잠깐 너는 그녀들과의 저울질에도 항상 무거워서 가벼움을 원했었나 봐 모든 남잔 새로운 길을 반갑게 생각하지 매일 밤이 똑같았으니까 you only missin' home when you hit the road yeah, you only know when you let her go that you're still in love with her 지겹게 반복됐던 우리 사투 whoaoh 그녀들과는 우리 반의반도 whoaoh 안되더라 왠지 너가 자꾸 모든 면에서 우월하더라 한 수 잠시 외출 그 뒤에 안 건 soulmate 이 있다면 너가 나의 짝꿍 이미 늦었다면 내가 기다릴게 처음 너를 만났었을 때 그대로 yeah   i'm sorry no, baby i'm sorry 내가 미안해 그만 미안해도 돼 i'm out of this game 난 그만할래    끝없이 반복되는 실수 벽보고 소리치는 기분 이젠 더 기다릴 수가 없어 난 빼줘 이 멍청한 게임에서    i'm sorry no, baby i'm sorry 내가 미안해 그만 미안해도 돼 i'm out of this game 난 그만할래 할래 i'm sorry oohooh no, baby i'm sorry i'm sorry 내가 미안해 내가 미안해 그만 미안해도 돼 미안해도 돼 i'm out of this game 난 그만할래 "
Official,Lee Hi (이하이)," official     ooh, baby, if only you only you knew you make me run to you run to you, baby    첨엔 망설였지만 좀 겁났었지만 속으론 오늘밤을 기다려왔어 온종일 그 생각에 계속 상상하게 돼 밤새 둘이서 all the things that we'll do  pre  너에게 안길 때, 키스할 때 네 옆에 잠들 때, 눈을 뜰 때 my heart, my soul, my body 이 순간부터 baby, 24/7    i wanna be your girl 내가 니꺼란 걸 느끼게 해주고 싶어 i wanna be official 네가 원한다면 그게 무엇이든 너에게 다 주고 싶어 i wanna be official   i wanna be yours 애매한 건 싫어 got to be official don't know why, why we waited so long 더 이상은 참을 수 없는 걸  pre  너에게 안길 때 ooh 너와 키스 할 때 i get high my heart, my soul, my body   , incredivle i wanna be your girl 내가 니꺼란 걸 느끼게 해주고 싶어 i wanna be official 네가 원한다면 그게 무엇이든 너에게 다 주고 싶어 yeah, yeah i wanna be official   incredivle 난 눈이 꽤 높아서 널 딱 보자마자 바로 정했어 내 밤은 널 위해서만 써 이제는 yeah, yeah 삐쩍 마른 걔넨 자극이 안돼 내겐 이유는 네가 잘 알면서 자꾸 왜 이래 왜 이래 근거 없는 자신감이 아냐 bae, bae 겪어보면 이해하게 돼 oh i told you 기억해 봐 전부터 얘기했던 걸 요즘 쇼핑할 땐 관심 없던 여자 옷도 보여 너로 가득 차 있는 건 내 머릿속뿐만이 아닌 걸 물론 지금도 다 좋지만 한번 터트리고 싶어 i wanna be official   hey, 사람들은 날 걱정하는데 boy, i just can't get you outta my head the only one for me is you is you, is you, baby    i wanna be your girl 내가 니꺼란 걸 느끼게 해주고 싶어 i wanna be official 네가 원한다면 그게 무엇이든 너에게 다 주고 싶어 i wanna be official   i be official i be official "
밤샘 (Up All Night),Lee Hi (이하이)," 밤샘     요즘 나 몸이 안 좋아 병원에 가봐야 할까    잠이 부족하다고 쉬면 된다 하겠지만    오늘도 네 생각에 밤새 끝내 눈을 감아도 네 얼굴이 보이고 오늘도 네 기억에 밤새 술 한잔을 마셔도 그 기억에 취하고 think i'm lost without you    할 일 너무 많은데 오늘도 지각하겠지 밤새 뭐 한 거냐고 쓴소리를 듣겠지만  tablo i got trouble sleepin' 땀에 적신 베개 ain't no religion that can save me god, i'm so sick and tired of ng sick and tired 나도 잠시라도 눈 감고 싶지만 곧 네가 찾아올 악몽 때문에 i'm up all night again    오늘도 네 생각에 밤새 끝내 눈을 감아도 네 얼굴이 보이고 오늘도 네 기억에 밤새 술 한잔을 마셔도 그 기억에 취하고 think i'm lost without    you, baby, i know that it sounds so crazy but without you, my night just feels like day ooh 이러다가 병들겠지만 네가 없는 아침은 나에게 어둠뿐이라서   오늘도 네 생각에 밤새 'cause i can't sleep without you 끝내 눈을 감아도 네 얼굴이 보이고 i need you by my side 오늘도 네 기억에 밤새 'cause i can't live without you 술 한잔을 마셔도 그 기억에 취하고 think i'm lost without you "
머리어깨무릎발 (H.S.K.T),Lee Hi (이하이)," 머리어깨무릎발       넌 나를 얼마나 생각해 음 솔직하게 네 마음을 열어볼 수 있다면 좋을 텐데 그러니 말로 해줘 굳이 둘러볼 필요 없지 주위 다른 여자는 관심 주지 말고 나만 봐 i'm sorry sorry 사랑, 원래 이기주의  높일게 우리 사이 수위 네 주위에 이만한 여자 봤어? i got what you need what you need    내 머리 어깨 무릎 발 그만큼 사랑해 줘 내 머리 어깨 무릎 발 you know what i mean 내 머리 어깨 무릎 발 중 어디가 좋아 내 머리 어깨 무릎 발 sorry, not sorry  post  내 머리 어깨 무릎 발  내 머리 어깨 무릎 발 순서대로, yeah 내 머리 어깨 무릎 발 네가 뭘 원하든 내 머리 어깨 무릎 발 너의 그 머리 어깨 무릎, ooh  wonstein,  yeah, yeah 그거 받고 난 내가 사랑한다면 yeah 너의 다른 부분들까지 안고 살아갈 수 있다고 hoo! 그래 난, ai 로봇 ai 같은 뻔한 answer 그래도 계속 잘 다루는 널 보면 you are early adopter, doctor! i don’t know what to say to say do you really think she needs me? she needs me? 죽도록 사랑하냐는 질문을 했지 okay, okay 끄덕이며 대답하는 나를 향해, breathe 향해, breathe 혹시 she ain't going home when she's supposed to be wooooh   , wonstein 내 머리 어깨 무릎 발 머리 어깨 무릎 발 내 머리 어깨 무릎 발 ayy, you know what i mean, whoa 내 머리 어깨 무릎 발 난 내 머리 어깨 무릎 발 sorry, not sorry  post , wonstein 내 머리 어깨 무릎 발 머리 어깨 무릎 발 내 머리 어깨 무릎 발 머리, 순서대로 yeah 내 머리 어깨 무릎 발 머리 어깨 무릎 발 내 머리 어깨 무릎 발 너의 그 머리 어깨 무릎, ooh  , wonstein,   wonstein 도저히 잊을 수 없을걸 넌 나의 목소리부터 자태 그때 맞잡았던 너의 두 손이 baby, you make me, 목에서 등까지 날 쓸어넘기는 손이 나른한 너의 두 눈이 yeah, i know it i know it don’t you want me? don't you want me? 선물 뒀으니 원하면 가져가 네 마음대로 마음대로 네 마음대로 네 마음대로 네 마음대로 마음대로 결국 내 마음대로 "
